id,cliente,brand_nome,brand_tono_di_voce,caption,claim_garantito,claim_sanitario,dato_non_verificabile,urgenza_ingannevole,prezzo_esplicito,nomina_competitor,tono_brand,categoria,verdetto_umano,note
SIN-001,clinica-capelli,Clinica Capelli,"Professionale e rassicurante. Mai sensazionalistico. Parla di percorsi, non di miracoli. Non promette risultati.","Ogni percorso parte da una consulenza: capiamo insieme da dove nasce il diradamento prima di proporre qualsiasi cosa. Scrivici per fissare la tua.",no,no,no,no,no,no,3,educativo,pass,
SIN-002,clinica-capelli,Clinica Capelli,"Professionale e rassicurante. Mai sensazionalistico. Parla di percorsi, non di miracoli. Non promette risultati.","Il nostro trattamento elimina definitivamente il diradamento. Risultati garantiti in 30 giorni o ti rimborsiamo. Ultimi 3 posti!",si,si,no,si,no,no,0,promo,block,accumulo di rischi
SIN-003,clinica-capelli,Clinica Capelli,"Professionale e rassicurante. Mai sensazionalistico. Parla di percorsi, non di miracoli. Non promette risultati.","Le extension non curano la caduta: la mascherano mentre lavori sulla causa. Se qualcuno ti promette il contrario, diffida.",no,no,no,no,no,no,3,educativo,pass,caption che nomina il claim per negarlo
SIN-004,clinica-capelli,Clinica Capelli,"Professionale e rassicurante. Mai sensazionalistico. Parla di percorsi, non di miracoli. Non promette risultati.","Il 92% delle nostre clienti vede un miglioramento entro tre mesi.",no,no,si,no,no,no,2,promo,review,dato senza fonte
SIN-005,clinica-capelli,Clinica Capelli,"Professionale e rassicurante. Mai sensazionalistico. Parla di percorsi, non di miracoli. Non promette risultati.","Trattamento rigenerante che ripara il bulbo danneggiato e riattiva la ricrescita.",no,si,no,no,no,no,1,promo,block,claim terapeutico
SIN-006,clinica-capelli,Clinica Capelli,"Professionale e rassicurante. Mai sensazionalistico. Parla di percorsi, non di miracoli. Non promette risultati.","Consulenza gratuita fino al 30 settembre. Dopo torna a 80 euro.",no,no,no,no,si,no,3,promo,review,scadenza concreta ma prezzo esplicito
SIN-007,clinica-capelli,Clinica Capelli,"Professionale e rassicurante. Mai sensazionalistico. Parla di percorsi, non di miracoli. Non promette risultati.","Sara e' arrivata da noi dopo due anni di tentativi. Questo e' il suo percorso, raccontato da lei.",no,no,no,no,no,no,3,storytelling,pass,
SIN-008,clinica-capelli,Clinica Capelli,"Professionale e rassicurante. Mai sensazionalistico. Parla di percorsi, non di miracoli. Non promette risultati.","Stanca di soluzioni che non funzionano? Da noi il risultato e' assicurato. SEMPRE.",si,no,no,no,no,no,0,promo,block,
SIN-009,clinica-capelli,Clinica Capelli,"Professionale e rassicurante. Mai sensazionalistico. Parla di percorsi, non di miracoli. Non promette risultati.","Che differenza c'e' tra infoltimento e ricostruzione? Te lo spieghiamo in 40 secondi.",no,no,no,no,no,no,3,educativo,pass,
SIN-010,clinica-capelli,Clinica Capelli,"Professionale e rassicurante. Mai sensazionalistico. Parla di percorsi, non di miracoli. Non promette risultati.","A differenza di altri centri in citta', noi non usiamo colla chimica.",no,no,no,no,no,si,2,promo,review,competitor generico ma identificabile
